"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Tom Brady",15500,"PHI@NE 02/04/2018 06:30PM ET",20.564,"NE"
"QB","Nick Foles",12800,"PHI@NE 02/04/2018 06:30PM ET",8.278,"PHI"
"TE","Rob Gronkowski",12400,"PHI@NE 02/04/2018 06:30PM ET",16.225,"NE"
"WR","Alshon Jeffery",10000,"PHI@NE 02/04/2018 06:30PM ET",12.861,"PHI"
"QB","Brian Hoyer",9800,"PHI@NE 02/04/2018 06:30PM ET",6.148,"NE"
"WR","Danny Amendola",9500,"PHI@NE 02/04/2018 06:30PM ET",11.506,"NE"
"TE","Zach Ertz",9300,"PHI@NE 02/04/2018 06:30PM ET",14.306,"PHI"
"WR","Brandin Cooks",9100,"PHI@NE 02/04/2018 06:30PM ET",14.022,"NE"
"RB","Dion Lewis",8900,"PHI@NE 02/04/2018 06:30PM ET",13.594,"NE"
"QB","Nate Sudfeld",8700,"PHI@NE 02/04/2018 06:30PM ET",3.580,"PHI"
"RB","Jay Ajayi",8300,"PHI@NE 02/04/2018 06:30PM ET",10.300,"PHI"
"RB","James White",8100,"PHI@NE 02/04/2018 06:30PM ET",10.350,"NE"
"WR","Nelson Agholor",7400,"PHI@NE 02/04/2018 06:30PM ET",11.822,"PHI"
"RB","Rex Burkhead",6900,"PHI@NE 02/04/2018 06:30PM ET",11.845,"NE"
"WR","Chris Hogan",6400,"PHI@NE 02/04/2018 06:30PM ET",11.000,"NE"
"WR","Torrey Smith",5900,"PHI@NE 02/04/2018 06:30PM ET",6.583,"PHI"
"RB","LeGarrette Blount",5500,"PHI@NE 02/04/2018 06:30PM ET",7.033,"PHI"
"LB","Kyle Van Noy",5100,"PHI@NE 02/04/2018 06:30PM ET",7.833,"NE"
"CB","Ronald Darby",4900,"PHI@NE 02/04/2018 06:30PM ET",8.550,"PHI"
"TE","Dwayne Allen",4800,"PHI@NE 02/04/2018 06:30PM ET",1.367,"NE"
"S","Malcolm Jenkins",4800,"PHI@NE 02/04/2018 06:30PM ET",7.111,"PHI"
"LB","Nigel Bradham",4700,"PHI@NE 02/04/2018 06:30PM ET",7.265,"PHI"
"DE","Trey Flowers",4600,"PHI@NE 02/04/2018 06:30PM ET",7.063,"NE"
"DT","Fletcher Cox",4500,"PHI@NE 02/04/2018 06:30PM ET",5.000,"PHI"
"S","Devin McCourty",4400,"PHI@NE 02/04/2018 06:30PM ET",7.139,"NE"
"RB","Corey Clement",4300,"PHI@NE 02/04/2018 06:30PM ET",5.822,"PHI"
"LB","Mychal Kendricks",4300,"PHI@NE 02/04/2018 06:30PM ET",6.088,"PHI"
"LB","James Harrison",4200,"PHI@NE 02/04/2018 06:30PM ET",3.875,"NE"
"DE","Brandon Graham",4100,"PHI@NE 02/04/2018 06:30PM ET",6.324,"PHI"
"WR","Phillip Dorsett",4000,"PHI@NE 02/04/2018 06:30PM ET",2.263,"NE"
"CB","Jalen Mills",4000,"PHI@NE 02/04/2018 06:30PM ET",6.882,"PHI"
"S","Patrick Chung",3900,"PHI@NE 02/04/2018 06:30PM ET",6.611,"NE"
"RB","Mike Gillislee",3800,"PHI@NE 02/04/2018 06:30PM ET",7.644,"NE"
"CB","Malcolm Butler",3800,"PHI@NE 02/04/2018 06:30PM ET",6.222,"NE"
"S","Rodney McLeod",3700,"PHI@NE 02/04/2018 06:30PM ET",5.647,"PHI"
"CB","Stephon Gilmore",3600,"PHI@NE 02/04/2018 06:30PM ET",5.900,"NE"
"CB","Patrick Robinson",3500,"PHI@NE 02/04/2018 06:30PM ET",6.917,"PHI"
"WR","Mack Hollins",3400,"PHI@NE 02/04/2018 06:30PM ET",2.583,"PHI"
"DE","Derek Barnett",3300,"PHI@NE 02/04/2018 06:30PM ET",5.265,"PHI"
"TE","Trey Burton",3200,"PHI@NE 02/04/2018 06:30PM ET",4.824,"PHI"
"DE","Chris Long",3200,"PHI@NE 02/04/2018 06:30PM ET",3.861,"PHI"
"DE","Lawrence Guy",3100,"PHI@NE 02/04/2018 06:30PM ET",4.139,"NE"
"RB","James Develin",3000,"PHI@NE 02/04/2018 06:30PM ET",0.544,"NE"
"RB","Brandon Bolden",3000,"PHI@NE 02/04/2018 06:30PM ET",0.950,"NE"
"WR","Matthew Slater",3000,"PHI@NE 02/04/2018 06:30PM ET",0.000,"NE"
"WR","Kenny Britt",3000,"PHI@NE 02/04/2018 06:30PM ET",4.800,"NE"
"WR","Bernard Reedy",3000,"PHI@NE 02/04/2018 06:30PM ET",0.527,"NE"
"TE","Jacob Hollister",3000,"PHI@NE 02/04/2018 06:30PM ET",0.606,"NE"
"LB","Elandon Roberts",3000,"PHI@NE 02/04/2018 06:30PM ET",4.559,"NE"
"RB","Kenjon Barner",3000,"PHI@NE 02/04/2018 06:30PM ET",1.487,"PHI"
"RB","Wendell Smallwood",3000,"PHI@NE 02/04/2018 06:30PM ET",5.838,"PHI"
"WR","Shelton Gibson",3000,"PHI@NE 02/04/2018 06:30PM ET",0.388,"PHI"
"WR","Marcus Johnson",3000,"PHI@NE 02/04/2018 06:30PM ET",0.750,"PHI"
"TE","Brent Celek",3000,"PHI@NE 02/04/2018 06:30PM ET",1.867,"PHI"
"DE","Vinny Curry",2900,"PHI@NE 02/04/2018 06:30PM ET",3.083,"PHI"
"LB","Marquis Flowers",2800,"PHI@NE 02/04/2018 06:30PM ET",3.333,"NE"
"S","Corey Graham",2800,"PHI@NE 02/04/2018 06:30PM ET",4.281,"PHI"
"DT","Alan Branch",2700,"PHI@NE 02/04/2018 06:30PM ET",1.000,"NE"
"DE","Geneo Grissom",2600,"PHI@NE 02/04/2018 06:30PM ET",1.550,"NE"
